nbeval fitness
1000 28224.0
1000 27908.0
1000 28557.0
1000 28326.0
1000 28320.0
1000 28110.0
1000 27873.0
1000 28318.0
1000 27887.0
1000 28089.0
1000 28352.0
1000 28219.0
1000 28206.0
1000 28854.0
1000 28030.0
1000 28219.0
1000 29017.0
1000 28503.0
1000 28167.0
1000 28401.0
1000 28308.0
1000 28451.0
1000 28690.0
1000 28294.0
1000 28127.0
1000 28122.0
1000 28697.0
1000 28434.0
1000 27980.0
1000 28331.0
1000 28804.0
1000 27930.0
1000 28191.0
1000 27925.0
1000 28523.0
1000 28289.0
1000 28580.0
1000 28412.0
1000 28194.0
1000 28109.0
1000 28284.0
1000 28349.0
1000 28498.0
1000 28154.0
1000 28179.0
10000 29134.0
10000 28905.0
10000 28675.0
10000 28684.0
10000 28817.0
10000 28769.0
10000 28719.0
10000 29379.0
10000 28788.0
10000 28468.0
10000 29258.0
10000 28894.0
10000 29469.0
10000 29019.0
10000 29093.0
10000 29141.0
10000 28789.0
10000 28509.0
10000 29466.0
10000 28648.0
10000 28657.0
10000 29460.0
10000 28743.0
10000 28549.0
10000 28993.0
10000 29184.0
10000 28699.0
10000 28998.0
10000 28640.0
10000 29187.0
10000 28616.0
10000 29010.0
10000 28656.0
10000 29038.0
10000 28391.0
10000 28727.0
10000 28783.0
10000 28995.0
10000 28610.0
10000 29247.0
10000 29077.0
10000 28786.0
10000 28927.0
10000 29509.0
10000 28588.0
10000 29313.0
10000 28949.0
10000 28911.0
10000 28705.0
10000 28741.0
10000 28847.0
10000 28923.0
10000 29212.0
10000 28667.0
10000 28417.0
10000 28941.0
10000 28819.0
10000 28859.0
10000 29401.0
10000 29316.0
10000 29022.0
10000 28699.0
10000 28863.0
10000 28996.0
10000 29353.0
10000 28712.0
10000 28553.0
10000 28658.0
10000 28986.0
10000 29218.0
10000 29031.0
10000 28918.0
10000 29421.0
10000 29472.0
10000 28990.0
10000 29404.0
10000 29200.0
10000 29160.0
10000 29008.0
10000 29286.0
10000 28572.0
10000 28822.0
10000 28989.0
10000 29064.0
10000 29291.0
10000 28731.0
10000 28981.0
10000 28782.0
10000 29046.0
10000 29004.0
10000 28977.0
10000 29051.0
10000 28952.0
10000 28682.0
10000 29035.0
10000 28879.0
10000 28673.0
10000 28381.0
10000 28666.0
10000 29188.0
